epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.8784,1.75531,3.64647,2.08241,0.00323,1,0.07657,0.03624,1.49913,4.38017,2.30795,8.75e-05,8.75e-05,8.75e-05
2,99.0259,1.70602,3.41393,1.96938,0.00432,0.97222,0.13829,0.06788,1.51503,4.38324,2.34377,0.000183787,0.000183787,0.000183787
3,144.502,1.64762,2.95401,1.89604,0.0046,1,0.12317,0.04997,1.38434,4.24339,2.23507,0.000276115,0.000276115,0.000276115
4,197.452,1.5876,2.73244,1.83344,0.00363,1,0.25161,0.11023,1.2169,4.02918,2.02907,0.000364482,0.000364482,0.000364482
5,255.106,1.5559,2.49697,1.79399,0.00322,0.975,0.31766,0.15827,1.49629,4.02251,2.56735,0.00044889,0.00044889,0.00044889
6,317.151,1.68541,2.52039,1.83267,0.8166,0.1,0.16015,0.07458,1.88274,4.1715,2.84079,0.000529338,0.000529338,0.000529338
7,380.451,1.68022,2.42707,1.83488,0.80128,0.05176,0.12496,0.04388,1.8349,4.1251,2.8283,0.000605825,0.000605825,0.000605825
8,426.21,1.65905,2.23396,1.81198,0.63319,0.18056,0.21434,0.07181,1.85168,3.95246,3.19203,0.000678352,0.000678352,0.000678352
9,473.43,1.62825,2.26258,1.79132,0.64429,0.13056,0.26339,0.09802,1.85964,3.92183,3.05834,0.00074692,0.00074692,0.00074692
10,521.283,1.61727,2.27487,1.79357,0.39021,0.16582,0.09015,0.02696,2.2223,4.37962,3.44519,0.000811528,0.000811528,0.000811528
11,568.791,1.71076,2.44898,1.92099,0.18765,0.28434,0.19261,0.04713,2.02609,4.39432,3.29413,0.000872175,0.000872175,0.000872175
12,616.703,1.62048,2.31438,1.85001,0.17968,0.37729,0.1887,0.0563,2.1564,4.52421,3.4175,0.000928863,0.000928863,0.000928863
13,682.711,1.63214,2.18362,1.82068,0.29159,0.45458,0.24048,0.07049,2.48385,4.51799,3.35719,0.000953,0.000953,0.000953
14,733.295,1.63811,2.16376,1.84449,0.39084,0.45556,0.30154,0.11559,2.11948,4.57877,3.1524,0.00092825,0.00092825,0.00092825
15,786.679,1.71744,2.2067,1.87259,0.20267,0.53056,0.22192,0.06425,2.36893,5.26958,3.37036,0.0009035,0.0009035,0.0009035
16,839.29,1.68275,2.29977,1.88932,0.29449,0.48056,0.33244,0.11058,2.12548,5.62028,3.06006,0.00087875,0.00087875,0.00087875
17,889.545,1.57173,2.16411,1.79221,0.27865,0.53611,0.34354,0.13242,1.84423,4.56247,2.83141,0.000854,0.000854,0.000854
18,947.663,1.64189,2.06849,1.81465,0.33371,0.53056,0.3983,0.14036,1.81551,3.78654,2.85882,0.00082925,0.00082925,0.00082925
19,1002.49,1.60008,2.04256,1.78254,0.47206,0.45556,0.44536,0.20554,1.62731,3.15222,2.60665,0.0008045,0.0008045,0.0008045
20,1059.61,1.55343,1.95262,1.72122,0.47733,0.45556,0.52115,0.24865,1.64338,2.98287,2.66598,0.00077975,0.00077975,0.00077975
21,1109.36,1.56358,1.97961,1.76057,0.44166,0.64478,0.56516,0.2397,1.7221,3.14111,2.75866,0.000755,0.000755,0.000755
22,1159.05,1.562,1.91831,1.78841,0.55873,0.57782,0.58461,0.22903,1.90261,3.5241,2.87323,0.00073025,0.00073025,0.00073025
23,1208.73,1.59615,2.01754,1.79489,0.60462,0.58102,0.56693,0.19361,1.84927,3.40623,2.80957,0.0007055,0.0007055,0.0007055
24,1258.87,1.62017,1.96193,1.81833,0.46463,0.375,0.43952,0.18791,1.79633,3.09256,2.67134,0.00068075,0.00068075,0.00068075
25,1322.95,1.52217,1.77911,1.66047,0.36334,0.4795,0.40534,0.15514,2.43437,3.2985,3.14847,0.000656,0.000656,0.000656
26,1373.76,1.56084,1.89538,1.70821,0.35575,0.3676,0.34268,0.13887,2.51451,3.32434,3.28272,0.00063125,0.00063125,0.00063125
27,1421.42,1.61919,1.87947,1.79317,0.49481,0.41485,0.42496,0.18301,2.3224,2.9938,3.17169,0.0006065,0.0006065,0.0006065
28,1465.29,1.63022,1.89993,1.83107,0.42521,0.51335,0.46823,0.21894,2.15131,2.62538,3.02436,0.00058175,0.00058175,0.00058175
29,1508.8,1.52728,1.81985,1.7094,0.62885,0.45224,0.5573,0.24669,1.97281,2.56905,2.74855,0.000557,0.000557,0.000557
30,1552.79,1.54123,1.82214,1.75909,0.4606,0.60569,0.62926,0.25385,2.13865,2.80922,2.99359,0.00053225,0.00053225,0.00053225
31,1597.19,1.50952,1.75054,1.71026,0.68864,0.64794,0.66535,0.321,1.91599,2.59745,2.67865,0.0005075,0.0005075,0.0005075
32,1645.75,1.46908,1.69199,1.6381,0.7964,0.64167,0.71228,0.35171,1.62978,2.38074,2.39238,0.00048275,0.00048275,0.00048275
33,1690.28,1.49275,1.63576,1.67817,0.79043,0.63563,0.71373,0.36591,1.59237,2.36052,2.41282,0.000458,0.000458,0.000458
34,1734.54,1.47554,1.65921,1.69747,0.83353,0.64641,0.72813,0.34049,1.60556,2.27491,2.35948,0.00043325,0.00043325,0.00043325
35,1778.98,1.38975,1.69737,1.62889,0.79394,0.6755,0.74119,0.32874,1.74615,2.28969,2.48412,0.0004085,0.0004085,0.0004085
36,1823.62,1.4211,1.69775,1.64101,0.76477,0.65326,0.74197,0.30937,1.81101,2.37041,2.49139,0.00038375,0.00038375,0.00038375
37,1868.37,1.36181,1.58925,1.58141,0.71532,0.68889,0.70064,0.3213,1.76348,2.2893,2.47094,0.000359,0.000359,0.000359
38,1913.07,1.43218,1.82123,1.69831,0.69959,0.63927,0.72566,0.36977,1.71169,2.23697,2.44472,0.00033425,0.00033425,0.00033425
39,1958.91,1.41312,1.55225,1.63904,0.61259,0.68845,0.75287,0.34297,1.713,2.28067,2.40716,0.0003095,0.0003095,0.0003095
40,2002.69,1.44084,1.6477,1.64199,0.66517,0.63126,0.70791,0.32701,1.79125,2.30787,2.48847,0.00028475,0.00028475,0.00028475
41,2046.1,1.28143,1.93224,1.73892,0.57884,0.76138,0.70531,0.37089,1.6714,2.28743,2.37306,0.00026,0.00026,0.00026
42,2089.66,1.27513,1.82885,1.79134,0.6714,0.77153,0.76044,0.42969,1.49528,2.24867,2.22718,0.00023525,0.00023525,0.00023525
43,2132.4,1.29258,1.82424,1.7541,0.67253,0.8245,0.80704,0.43323,1.51655,2.2512,2.21513,0.0002105,0.0002105,0.0002105
44,2175.54,1.25477,1.76366,1.76927,0.72038,0.7879,0.76247,0.39953,1.57485,2.16793,2.25272,0.00018575,0.00018575,0.00018575
45,2218.85,1.33008,1.69978,1.8411,0.80356,0.69034,0.80743,0.41517,1.55855,2.14146,2.20316,0.000161,0.000161,0.000161
46,2264.89,1.20883,1.59247,1.68804,0.67267,0.8115,0.80127,0.39994,1.56115,2.13993,2.21764,0.00013625,0.00013625,0.00013625
47,2309.31,1.11321,1.48296,1.62179,0.74052,0.7819,0.80066,0.38559,1.59775,2.16926,2.27565,0.0001115,0.0001115,0.0001115
48,2351.56,1.12158,1.48664,1.61568,0.75211,0.76814,0.79441,0.39239,1.6233,2.18246,2.31806,8.675e-05,8.675e-05,8.675e-05
49,2393.81,1.19304,1.57509,1.65648,0.75027,0.79444,0.81349,0.38826,1.66309,2.16909,2.35908,6.2e-05,6.2e-05,6.2e-05
50,2436.34,1.07886,1.48922,1.5731,0.78397,0.78482,0.81836,0.38705,1.66738,2.13889,2.3537,3.725e-05,3.725e-05,3.725e-05
