epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,378.169,1.44331,3.27975,1.51187,0.76868,0.25833,0.29559,0.18092,1.2537,3.04915,1.42816,0.000412037,0.000412037,0.000412037
2,814.877,1.4861,2.34235,1.48954,0.81142,0.33978,0.34653,0.21376,1.42362,2.99529,1.62709,0.000801356,0.000801356,0.000801356
3,34434.6,1.50961,2.18394,1.48778,0.62854,0.33687,0.38296,0.22844,1.55138,2.60831,1.67301,0.00116318,0.00116318,0.00116318
4,34700.4,1.55124,2.03496,1.54546,0.31813,0.30824,0.37208,0.23568,1.41936,3.3681,1.57192,0.00112625,0.00112625,0.00112625
5,34967,1.51201,1.81052,1.48116,0.31401,0.33649,0.34228,0.20201,1.51429,2.34825,1.62941,0.001085,0.001085,0.001085
6,35234.9,1.46479,1.70517,1.46401,0.60424,0.40185,0.4425,0.27437,1.3963,1.94747,1.54011,0.00104375,0.00104375,0.00104375
7,35501.7,1.45032,1.53763,1.43476,0.62138,0.36952,0.4097,0.24068,1.51163,1.9222,1.60458,0.0010025,0.0010025,0.0010025
8,35766.1,1.45109,1.49508,1.46147,0.62871,0.40412,0.45646,0.29399,1.28515,1.74525,1.47593,0.00096125,0.00096125,0.00096125
9,36031.8,1.42101,1.44635,1.43531,0.69131,0.35971,0.43213,0.28302,1.35184,1.7958,1.51758,0.00092,0.00092,0.00092
10,36494.6,1.3925,1.3925,1.4254,0.63164,0.51212,0.51492,0.30236,1.29627,1.59193,1.47197,0.00087875,0.00087875,0.00087875
11,36836,1.34564,1.31122,1.39766,0.70566,0.3923,0.48923,0.32113,1.24688,1.34718,1.39071,0.0008375,0.0008375,0.0008375
12,37179.6,1.37018,1.25027,1.38487,0.451,0.53145,0.51985,0.32305,1.28384,1.25576,1.42112,0.00079625,0.00079625,0.00079625
13,37519.5,1.33962,1.15684,1.34797,0.39389,0.67058,0.5121,0.32169,1.26682,1.23888,1.39203,0.000755,0.000755,0.000755
14,37863.5,1.36592,1.17137,1.38012,0.64956,0.54421,0.53322,0.32967,1.23896,1.26617,1.42244,0.00071375,0.00071375,0.00071375
15,38225.6,1.32415,1.11739,1.35753,0.50041,0.61828,0.61942,0.36696,1.26333,1.19666,1.43093,0.0006725,0.0006725,0.0006725
16,38571.2,1.30866,1.07905,1.34006,0.43649,0.6931,0.53989,0.3303,1.30103,1.11979,1.45704,0.00063125,0.00063125,0.00063125
17,38922.5,1.25878,1.02764,1.32465,0.45501,0.59129,0.57308,0.37408,1.24531,1.04748,1.40479,0.00059,0.00059,0.00059
18,39279.7,1.27453,1.00976,1.32816,0.62878,0.78008,0.65029,0.3905,1.23962,1.02387,1.40386,0.00054875,0.00054875,0.00054875
19,39631.8,1.25757,0.98188,1.31452,0.47552,0.80449,0.63083,0.37022,1.20105,0.98669,1.36213,0.0005075,0.0005075,0.0005075
20,39988.3,1.23315,0.97078,1.30762,0.56884,0.69232,0.6019,0.3805,1.22678,0.9584,1.33861,0.00046625,0.00046625,0.00046625
21,40344.8,1.13876,0.81248,1.27016,0.701,0.6531,0.63237,0.40118,1.18889,0.95869,1.36039,0.000425,0.000425,0.000425
22,40638.4,1.1094,0.77075,1.25212,0.60323,0.70137,0.68323,0.43073,1.20906,0.91184,1.34793,0.00038375,0.00038375,0.00038375
23,40903.4,1.11023,0.73755,1.24763,0.59698,0.74623,0.70869,0.45192,1.18481,0.84784,1.34873,0.0003425,0.0003425,0.0003425
24,41167.7,1.08319,0.71219,1.2348,0.60058,0.66353,0.63349,0.40249,1.1942,0.88895,1.34424,0.00030125,0.00030125,0.00030125
25,41433.6,1.02913,0.68094,1.20323,0.54781,0.81482,0.68504,0.40887,1.20304,0.85402,1.35688,0.00026,0.00026,0.00026
26,41698.3,1.04796,0.6579,1.21798,0.79567,0.57781,0.6915,0.42037,1.24585,0.85051,1.39212,0.00021875,0.00021875,0.00021875
27,41962,1.03307,0.65768,1.19182,0.6538,0.80841,0.80994,0.51787,1.19398,0.78074,1.35307,0.0001775,0.0001775,0.0001775
28,42225.6,0.99081,0.62655,1.17684,0.59863,0.93635,0.70284,0.42929,1.22316,0.81472,1.38342,0.00013625,0.00013625,0.00013625
29,42490.4,0.97572,0.60621,1.16442,0.65996,0.87077,0.7397,0.4595,1.19728,0.78934,1.34334,9.5e-05,9.5e-05,9.5e-05
30,42756.1,0.97363,0.60068,1.15813,0.69968,0.90249,0.78489,0.48719,1.19019,0.77344,1.34408,5.375e-05,5.375e-05,5.375e-05
