epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.939,1.38582,3.08638,1.34489,0.73409,0.48771,0.68495,0.48516,1.12471,2.89604,1.12136,0.000411184,0.000411184,0.000411184
2,622.281,1.42795,2.19662,1.33032,0.53122,0.64231,0.59925,0.38694,1.27873,3.39316,1.29202,0.000800532,0.000800532,0.000800532
3,915.522,1.42253,1.99208,1.35021,0.6153,0.63134,0.67969,0.44138,1.2479,2.66289,1.30594,0.00116238,0.00116238,0.00116238
4,1226.88,1.42208,1.8201,1.35496,0.81923,0.71037,0.83003,0.53681,1.25248,2.40573,1.24524,0.00112625,0.00112625,0.00112625
5,1551.07,1.40423,1.58862,1.33079,0.83813,0.76927,0.84491,0.55793,1.26805,1.90339,1.26695,0.001085,0.001085,0.001085
6,1856.16,1.3925,1.52663,1.29927,0.84682,0.79778,0.83761,0.54426,1.2685,1.653,1.31329,0.00104375,0.00104375,0.00104375
7,2155.03,1.35964,1.45506,1.29863,0.84326,0.83885,0.89682,0.59241,1.19443,1.67279,1.26957,0.0010025,0.0010025,0.0010025
8,2457.89,1.29913,1.36776,1.3017,0.91739,0.87931,0.9455,0.65024,1.19142,1.34835,1.25971,0.00096125,0.00096125,0.00096125
9,2708.85,1.32157,1.22998,1.28264,0.91924,0.88446,0.94148,0.64832,1.17155,1.32574,1.20121,0.00092,0.00092,0.00092
10,2942,1.27022,1.20458,1.27107,0.9794,0.85133,0.93539,0.6627,1.11844,1.15784,1.16085,0.00087875,0.00087875,0.00087875
11,3165.44,1.27472,1.10016,1.2645,0.92609,0.9037,0.93566,0.65571,1.14042,1.19336,1.17149,0.0008375,0.0008375,0.0008375
12,3391.26,1.28875,1.10213,1.27649,0.93972,0.86406,0.93648,0.66328,1.13129,1.04751,1.182,0.00079625,0.00079625,0.00079625
13,3623.14,1.20421,1.0636,1.22378,0.92075,0.88955,0.93848,0.68057,1.10702,1.01792,1.15385,0.000755,0.000755,0.000755
14,3854.91,1.21131,0.9684,1.2212,0.89081,0.94958,0.96355,0.67256,1.18919,0.98231,1.18963,0.00071375,0.00071375,0.00071375
15,4089.51,1.21365,0.94277,1.24152,0.96151,0.94025,0.97717,0.70071,1.10654,0.90304,1.14583,0.0006725,0.0006725,0.0006725
16,4321.46,1.2324,0.95424,1.21787,0.96552,0.93546,0.96785,0.661,1.13184,0.89598,1.16794,0.00063125,0.00063125,0.00063125
17,4544.46,1.1809,0.95615,1.19468,0.956,0.86747,0.9484,0.66031,1.15751,0.89743,1.17863,0.00059,0.00059,0.00059
18,4770.22,1.12488,0.8999,1.17812,0.90971,0.9142,0.95827,0.70024,1.08871,0.8427,1.13438,0.00054875,0.00054875,0.00054875
19,4997.92,1.14722,0.836,1.18427,0.92263,0.93866,0.97495,0.70658,1.0746,0.78085,1.13655,0.0005075,0.0005075,0.0005075
20,5228.32,1.13766,0.81738,1.18404,0.93633,0.9436,0.96317,0.70571,1.09693,0.81487,1.11379,0.00046625,0.00046625,0.00046625
21,5509.58,1.02823,0.69612,1.12522,0.97966,0.88406,0.96314,0.71802,1.10877,0.80267,1.13,0.000425,0.000425,0.000425
22,5869.5,1.01795,0.65773,1.12319,0.97833,0.90619,0.97231,0.70283,1.08836,0.72426,1.11608,0.00038375,0.00038375,0.00038375
23,6149.42,0.98256,0.63856,1.1059,0.95262,0.93965,0.97554,0.70097,1.08124,0.6946,1.12353,0.0003425,0.0003425,0.0003425
24,6434.06,1.01817,0.62609,1.1271,0.96227,0.97023,0.9806,0.70362,1.08437,0.69638,1.12985,0.00030125,0.00030125,0.00030125
25,6725.13,0.97693,0.59889,1.10299,0.93293,0.96661,0.97382,0.72664,1.09231,0.66904,1.12765,0.00026,0.00026,0.00026
26,7010.46,0.95106,0.56441,1.08641,0.95409,0.96599,0.97119,0.71589,1.07108,0.65571,1.12893,0.00021875,0.00021875,0.00021875
27,7296.47,0.93082,0.55169,1.06904,0.97,0.95985,0.97514,0.71651,1.10379,0.64505,1.1051,0.0001775,0.0001775,0.0001775
28,7534.92,0.93956,0.55797,1.06104,0.98292,0.9609,0.98482,0.72599,1.06133,0.64394,1.10548,0.00013625,0.00013625,0.00013625
29,7780.66,0.92967,0.54644,1.09232,0.99285,0.96735,0.98127,0.74377,1.05707,0.62894,1.10819,9.5e-05,9.5e-05,9.5e-05
30,8001.97,0.90763,0.51609,1.07535,0.96293,0.96551,0.9783,0.73388,1.05983,0.61755,1.10364,5.375e-05,5.375e-05,5.375e-05
